customer_id,country,signup_date,email,total_spend_eur,avg_transaction_value,transaction_frequency,last_tx_date,recency_days,high_ticket_user,cross_border_count
1,DK,2022-01-22,user0@example.com,1125.7683200000001,43.29878153846154,26,2020-12-11 15:38:00,1,False,19
2,FI,2021-12-22,user1@example.com,1107.65499,48.15891260869565,23,2020-12-11 14:35:00,1,False,13
3,SE,2023-08-18,user2@example.com,829.7829399999999,51.861433749999996,16,2020-11-10 05:25:00,32,False,13
4,DK,2022-01-25,user3@example.com,1697.28609,58.52710655172414,29,2020-11-18 15:12:00,24,False,23
5,DK,2019-09-26,user4@example.com,832.34484,46.24138,18,2020-10-22 05:44:00,51,False,14
6,FI,2022-10-02,user5@example.com,1151.30254,47.97093916666666,24,2020-10-17 05:37:00,56,False,13
7,SE,2019-10-02,user6@example.com,827.879,39.422809523809526,21,2020-10-26 05:19:00,47,False,17
8,SE,2019-03-29,user7@example.com,1792.0379,61.79441034482759,29,2020-12-07 08:01:00,5,False,22
9,DK,2023-03-01,user8@example.com,921.53961,51.196645000000004,18,2020-12-11 17:42:00,1,False,17
10,NO,2023-04-13,user9@example.com,875.23504,48.62416888888889,18,2020-11-29 15:46:00,13,False,13
11,DK,2019-02-13,user10@example.com,863.35545,34.534218,25,2020-11-15 02:51:00,28,False,16
12,DK,2022-09-19,user11@example.com,1324.22933,41.3821665625,32,2020-12-05 19:11:00,7,False,23
13,DK,2019-07-12,user12@example.com,1043.10075,47.41367045454546,22,2020-10-05 08:41:00,68,False,18
14,DK,2019-07-30,user13@example.com,1088.35845,38.86994464285714,28,2020-12-08 17:45:00,4,False,20
15,FI,2023-07-31,user14@example.com,709.45101,35.4725505,20,2020-12-06 22:43:00,6,False,10
16,SE,2023-07-03,user15@example.com,1118.5270500000001,48.63161086956522,23,2020-11-29 12:57:00,13,False,18
17,FI,2020-01-15,user16@example.com,961.71981,40.071658750000005,24,2020-12-13 00:28:00,0,False,16
18,FI,2022-12-17,user17@example.com,1145.49073,52.06776045454546,22,2020-12-03 21:39:00,9,False,13
19,FI,2022-08-27,user18@example.com,1452.3065000000001,50.079534482758625,29,2020-12-05 01:33:00,8,False,18
20,DK,2020-03-16,user19@example.com,808.44889,47.55581705882353,17,2020-12-13 00:38:00,0,False,15
21,NO,2020-06-07,user20@example.com,1457.75359,53.990873703703706,27,2020-12-04 12:18:00,8,False,19
22,SE,2021-12-05,user21@example.com,1297.2494,58.96588181818181,22,2020-12-13 00:41:00,0,False,18
23,NO,2021-04-15,user22@example.com,1372.96435,47.34359827586207,29,2020-11-24 09:20:00,18,False,25
24,FI,2022-04-23,user23@example.com,887.80357,34.14629115384616,26,2020-12-03 16:33:00,9,False,18
25,FI,2020-08-12,user24@example.com,1445.73452,57.829380799999996,25,2020-12-07 15:29:00,5,False,13
26,NO,2020-01-31,user25@example.com,1231.52829,49.2611316,25,2020-12-11 10:07:00,1,False,21
27,NO,2019-08-06,user26@example.com,1549.97107,57.40633592592593,27,2020-11-16 22:05:00,26,False,22
28,NO,2022-08-02,user27@example.com,1065.3403,30.43829428571429,35,2020-12-11 14:48:00,1,False,30
29,FI,2021-03-08,user28@example.com,843.07466,42.153733,20,2020-12-01 08:52:00,11,False,14
30,FI,2023-03-24,user29@example.com,1048.20829,33.81317064516129,31,2020-12-13 04:56:00,0,False,23
31,SE,2023-09-01,user30@example.com,440.93736,24.49652,18,2020-11-22 06:04:00,20,False,13
32,SE,2020-01-12,user31@example.com,832.6681,33.306724,25,2020-12-13 01:55:00,0,False,18
33,FI,2019-02-25,user32@example.com,898.788,35.95152,25,2020-12-12 06:22:00,0,False,17
34,NO,2021-07-25,user33@example.com,857.42333,45.12754368421052,19,2020-10-19 08:49:00,54,False,15
35,NO,2023-12-01,user34@example.com,1375.65568,57.31898666666667,24,2020-11-13 23:08:00,29,False,19
36,SE,2023-02-17,user35@example.com,939.13748,62.60916533333333,15,2020-11-05 01:30:00,38,False,12
37,FI,2019-09-08,user36@example.com,968.27991,46.10856714285714,21,2020-11-22 13:36:00,20,False,13
38,SE,2023-07-16,user37@example.com,667.10534,33.355267,20,2020-12-09 01:02:00,4,False,16
39,SE,2023-10-25,user38@example.com,541.73165,36.11544333333333,15,2020-12-09 00:13:00,4,False,8
40,DK,2019-11-22,user39@example.com,828.30458,48.723798823529414,17,2020-12-03 11:36:00,9,False,11
41,DK,2020-12-24,user40@example.com,1367.80851,52.60801961538462,26,2020-11-05 01:06:00,38,False,22
42,DK,2020-05-21,user41@example.com,1040.21325,57.789625,18,2020-11-25 06:34:00,17,False,13
43,NO,2021-08-21,user42@example.com,660.19922,44.01328133333333,15,2020-11-29 13:05:00,13,False,11
44,FI,2019-04-01,user43@example.com,1278.5453,53.27272083333333,24,2020-12-10 19:20:00,2,False,13
45,FI,2021-01-25,user44@example.com,821.47869,43.23572052631579,19,2020-11-18 12:13:00,24,False,13
46,FI,2019-02-07,user45@example.com,993.2590299999999,36.78737148148148,27,2020-12-07 07:30:00,5,False,17
47,FI,2021-11-30,user46@example.com,1229.52053,53.45741434782609,23,2020-12-08 05:21:00,4,False,11
48,DK,2019-09-06,user47@example.com,1510.16264,53.93438,28,2020-12-11 14:30:00,1,False,23
49,NO,2023-02-25,user48@example.com,921.51592,46.075796000000004,20,2020-12-09 07:33:00,3,False,15
50,NO,2019-12-09,user49@example.com,592.64435,39.50962333333334,15,2020-09-29 09:16:00,74,False,13
51,DK,2019-11-24,user50@example.com,1540.51555,59.25059807692308,26,2020-12-11 08:32:00,1,False,21
52,NO,2022-05-31,user51@example.com,1387.6762,60.33374782608696,23,2020-11-23 09:05:00,19,False,21
53,DK,2023-06-09,user52@example.com,1253.18393,46.41421962962963,27,2020-12-01 21:18:00,11,False,20
54,FI,2022-04-28,user53@example.com,813.12868,40.656434000000004,20,2020-12-04 16:36:00,8,False,13
55,DK,2023-11-10,user54@example.com,1185.6017,45.600065384615384,26,2020-12-02 06:32:00,10,False,23
56,FI,2023-12-03,user55@example.com,1476.11272,67.09603272727273,22,2020-12-03 11:13:00,9,False,7
57,FI,2021-02-25,user56@example.com,981.57448,61.348405,16,2020-11-27 02:41:00,16,False,9
58,SE,2020-07-27,user57@example.com,1007.7108,55.98393333333333,18,2020-11-24 15:58:00,18,False,15
59,DK,2023-01-22,user58@example.com,1033.48985,36.91035178571428,28,2020-11-13 05:17:00,30,False,20
60,SE,2021-03-20,user59@example.com,1037.1684500000001,51.8584225,20,2020-11-03 23:43:00,39,False,15
61,DK,2021-12-31,user60@example.com,1458.928,48.63093333333334,30,2020-12-11 12:53:00,1,False,26
62,DK,2020-07-07,user61@example.com,1515.97078,45.93850848484849,33,2020-11-19 15:23:00,23,False,28
63,SE,2019-04-11,user62@example.com,1116.4027,48.539247826086964,23,2020-11-27 09:40:00,15,False,22
64,SE,2021-12-14,user63@example.com,1430.82616,51.10093428571429,28,2020-12-12 11:59:00,0,False,22
65,DK,2020-08-25,user64@example.com,775.1904499999999,51.67936333333333,15,2020-11-14 08:17:00,28,False,14
66,NO,2019-12-18,user65@example.com,1386.37254,49.513305,28,2020-11-26 18:21:00,16,False,28
67,FI,2022-03-22,user66@example.com,722.96449,28.918579599999997,25,2020-11-14 04:49:00,29,False,20
68,SE,2019-05-17,user67@example.com,958.59807,45.64752714285714,21,2020-12-02 08:50:00,10,False,16
69,FI,2021-08-02,user68@example.com,1188.72446,47.548978399999996,25,2020-12-11 02:32:00,2,False,16
70,NO,2022-10-02,user69@example.com,1532.34499,52.83948241379311,29,2020-11-25 02:50:00,18,False,22
71,NO,2021-04-02,user70@example.com,1322.8854,52.91541599999999,25,2020-12-08 00:15:00,5,False,22
72,NO,2019-02-01,user71@example.com,1959.44092,54.428914444444445,36,2020-11-28 15:37:00,14,False,27
73,SE,2023-05-16,user72@example.com,1209.75281,41.715614137931034,29,2020-12-08 14:35:00,4,False,20
74,NO,2021-01-02,user73@example.com,1164.75717,44.798352692307695,26,2020-12-04 21:24:00,8,False,20
75,SE,2023-10-23,user74@example.com,388.00899,25.867265999999997,15,2020-12-02 10:25:00,10,False,9
76,NO,2022-08-22,user75@example.com,1224.0013999999999,55.63642727272727,22,2020-11-30 08:50:00,12,False,19
77,FI,2020-07-10,user76@example.com,1549.08861,55.32459321428571,28,2020-11-23 14:44:00,19,False,15
78,FI,2023-07-18,user77@example.com,634.52264,42.301509333333335,15,2020-11-19 11:49:00,23,False,10
79,DK,2022-06-17,user78@example.com,790.29003,43.905001666666664,18,2020-11-24 17:42:00,18,False,14
80,FI,2020-02-24,user79@example.com,1253.52413,46.42681962962963,27,2020-12-11 15:45:00,1,False,15
81,DK,2021-07-18,user80@example.com,1439.33406,57.57336239999999,25,2020-11-14 22:53:00,28,False,23
82,FI,2021-12-05,user81@example.com,1412.76286,48.71596068965518,29,2020-12-07 20:21:00,5,False,15
83,SE,2020-03-06,user82@example.com,1133.73011,36.571939032258065,31,2020-11-26 17:03:00,16,False,24
84,FI,2023-01-05,user83@example.com,1288.26801,58.55763681818182,22,2020-11-27 18:15:00,15,False,10
85,DK,2019-09-27,user84@example.com,1176.61221,43.57823,27,2020-12-06 03:30:00,7,False,20
86,DK,2022-12-25,user85@example.com,1013.43075,44.06220652173913,23,2020-11-18 14:13:00,24,False,17
87,NO,2019-02-18,user86@example.com,1254.98241,46.480830000000005,27,2020-11-25 21:09:00,17,False,20
88,SE,2021-06-29,user87@example.com,1193.8937600000002,51.90842434782609,23,2020-12-08 00:15:00,5,False,18
89,FI,2019-06-30,user88@example.com,741.96831,37.0984155,20,2020-11-21 17:47:00,21,False,13
90,NO,2020-12-15,user89@example.com,1244.33967,54.1017247826087,23,2020-12-11 04:20:00,2,False,19
91,FI,2020-07-06,user90@example.com,1668.87819,59.6027925,28,2020-11-27 18:25:00,15,False,14
92,FI,2021-04-25,user91@example.com,1420.1542,47.33847333333333,30,2020-11-17 10:01:00,25,False,19
93,NO,2022-05-04,user92@example.com,863.75402,41.131143809523806,21,2020-11-24 12:28:00,18,False,18
94,NO,2022-08-22,user93@example.com,1451.62709,63.11422130434782,23,2020-12-11 09:49:00,1,False,18
95,NO,2019-10-17,user94@example.com,319.43558,26.619631666666667,12,2020-12-10 14:15:00,2,False,9
96,NO,2022-01-13,user95@example.com,1301.2412199999999,37.17832057142857,35,2020-12-09 07:35:00,3,False,28
97,NO,2019-11-03,user96@example.com,707.2403899999999,41.60237588235294,17,2020-12-09 13:27:00,3,False,14
98,FI,2022-05-12,user97@example.com,1020.00365,46.36380227272727,22,2020-11-21 13:48:00,21,False,15
99,NO,2023-03-12,user98@example.com,1321.43696,44.04789866666667,30,2020-12-04 06:56:00,8,False,24
100,SE,2022-03-04,user99@example.com,836.79511,39.84738619047619,21,2020-12-01 10:31:00,11,False,13
101,DK,2019-08-18,user100@example.com,1486.7016899999999,57.18083423076923,26,2020-11-04 06:57:00,38,False,21
102,NO,2023-11-16,user101@example.com,1241.08781,49.6435124,25,2020-11-20 11:54:00,22,False,19
103,NO,2023-01-17,user102@example.com,884.23049,36.84293708333333,24,2020-11-24 20:58:00,18,False,18
